trip_id,user_id,sex,age,date,station_code_origin,station_code_destination,duration_m
32244893,1470734,M,43,2024-01,GDL-022,GDL-084,12
32244892,2731702,M,30,2024-01,GDL-046,GDL-206,12
32244891,1431452,M,23,2024-01,GDL-200,GDL-240,3
32244890,2312602,F,21,2024-01,GDL-200,GDL-240,3
32244889,2266427,M,25,2024-01,GDL-200,GDL-240,3
32244888,1071506,M,60,2024-01,GDL-077,GDL-058,25
32244887,423423,M,34,2024-01,GDL-093,GDL-247,15
32244886,2703032,M,54,2024-01,GDL-076,ZPN-049,25
32244884,452007,M,36,2024-01,GDL-126,GDL-066,6
32244881,11124,M,33,2024-01,GDL-080,GDL-208,15
32244880,122177,M,40,2024-01,GDL-080,GDL-198,11
32244879,2316567,F,42,2024-01,TLQ-002,GDL-165,6
32244878,2513175,F,25,2024-01,GDL-112,GDL-097,6
32244877,660765,M,30,2024-01,GDL-112,GDL-080,8
32244876,167712,M,34,2024-01,TLQ-006,TLQ-011,2
32244875,2405546,M,52,2024-01,GDL-036,GDL-133,11
32244874,2322444,F,21,2024-01,GDL-047,GDL-044,6
32244873,225217,F,35,2024-01,TLQ-006,TLQ-011,3
32244872,452007,M,36,2024-01,GDL-125,GDL-126,2
32244870,2707223,M,34,2024-01,GDL-121,GDL-265,15
32244869,2600240,M,34,2024-01,GDL-020,GDL-104,21
32244866,1030506,M,36,2024-01,GDL-218,GDL-041,13
32244865,2726762,F,27,2024-01,GDL-025,GDL-009,4
32244864,2440752,F,25,2024-01,GDL-134,GDL-140,2
32244863,1144146,M,28,2024-01,GDL-134,GDL-140,2
32244862,2405546,M,52,2024-01,GDL-024,GDL-036,4
32244861,2746326,M,36,2024-01,GDL-046,GDL-087,16
32244858,2437710,F,28,2024-01,GDL-036,GDL-024,3
32244856,2602545,F,26,2024-01,GDL-166,TLQ-001,9
32244854,1446115,F,33,2024-01,ZPN-056,GDL-214,19
32244853,1411432,M,29,2024-01,GDL-019,GDL-028,11
32244852,442274,M,34,2024-01,GDL-219,GDL-240,7
32244851,3353034,M,54,2024-01,GDL-038,GDL-028,11
32244850,2344334,M,20,2024-01,GDL-093,GDL-240,16
32244849,3353251,F,24,2024-01,GDL-038,GDL-028,12
32244848,1621202,M,57,2024-01,GDL-052,GDL-172,28
32244847,460001,M,35,2024-01,GDL-089,GDL-196,8
32244846,3353246,F,23,2024-01,GDL-038,GDL-028,13
32244845,3353075,M,54,2024-01,GDL-038,GDL-028,12
32244844,2054011,M,22,2024-01,TLQ-007,GDL-161,6
32244842,2555207,M,25,2024-01,GDL-038,GDL-028,13
32244841,77671,M,27,2024-01,GDL-068,GDL-134,14
32244840,2766051,F,25,2024-01,GDL-068,GDL-134,15
32244839,2023175,M,36,2024-01,GDL-019,GDL-070,7
32244838,3344055,M,24,2024-01,TLQ-007,TLQ-001,3
32244837,623273,F,29,2024-01,GDL-038,GDL-089,7
32244836,6223,F,37,2024-01,ZPN-032,GDL-062,16
32244835,2073721,M,35,2024-01,GDL-040,GDL-204,9
32244834,2674400,M,27,2024-01,GDL-109,GDL-048,11
32244833,2007230,M,39,2024-01,GDL-132,GDL-136,2
32244832,2764666,F,39,2024-01,GDL-052,GDL-028,9
32244831,1364776,M,54,2024-01,GDL-132,GDL-136,2
32244830,2250251,M,20,2024-01,GDL-070,GDL-179,22
32244829,1210501,M,41,2024-01,ZPN-035,ZPN-074,15
32244828,536255,F,24,2024-01,GDL-070,GDL-075,7
32244827,2264604,M,22,2024-01,GDL-217,GDL-122,4
32244826,1442326,M,24,2024-01,GDL-024,GDL-025,27
32244825,1626033,M,28,2024-01,ZPN-055,ZPN-005,15
32244824,2352155,F,41,2024-01,GDL-104,GDL-108,6
32244823,2760161,M,21,2024-01,GDL-104,GDL-108,6
32244822,2602545,F,26,2024-01,GDL-159,GDL-166,8
32244821,2373666,F,30,2024-01,GDL-024,GDL-267,9
32244820,513364,M,32,2024-01,GDL-200,GDL-188,11
